flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544151.3,20.68122,0,0.0013542739,659.3600163958736,250.29828345309585,1161,528502.44,19.912443,2270.3098,1.233701,544151.3,20.68122,0,,,,,659.3600163958736,3.501097e-05,250.29828345309585,5.2814867e-05,0.008880353,0.036705345
544137.2,20.670294,0,0.0013548651,659.36036006633,250.29880430682175,1162,528517.0,19.9126,2270.6885,1.2320286,544137.2,20.670294,0,,,,,659.36036006633,3.501138e-05,250.29880430682175,5.2805044e-05,0.009208068,0.037332833
544159.75,20.675446,0,0.0013554562,659.3601835474658,250.29912090323916,1163,528545.2,19.913027,2264.5134,1.2330507,544159.75,20.675446,0,,,,,659.3601835474658,3.500767e-05,250.29912090323916,5.280434e-05,0.0091412375,0.03764584
544189.06,20.682331,0,0.0013560473,659.3603309463881,250.29878952108413,1164,528529.56,19.91287,2262.6504,1.2329682,544189.06,20.682331,0,,,,,659.3603309463881,3.5009234e-05,250.29878952108413,5.28183e-05,0.009239353,0.037132394
544146.9,20.675844,0,0.0013566383,659.3603689875436,250.29925899104387,1165,528516.6,19.91277,2266.9314,1.2335429,544146.9,20.675844,0,,,,,659.3603689875436,3.5012974e-05,250.29925899104387,5.2807714e-05,0.009360371,0.037759293
544191.6,20.677994,0,0.0013572292,659.3603964906167,250.29899950994223,1166,528558.8,19.913372,2269.245,1.232351,544191.6,20.677994,0,,,,,659.3603964906167,3.5008696e-05,250.29899950994223,5.2810854e-05,0.00928309,0.037507214
544154.5,20.667042,0,0.0013578201,659.3606857726222,250.29961605372827,1167,528524.9,19.912846,2263.7285,1.2340862,544154.5,20.667042,0,,,,,659.3606857726222,3.5010155e-05,250.29961605372827,5.280633e-05,0.009476938,0.038156684
544220.94,20.682909,0,0.0013584109,659.3608934725573,250.29931155199625,1168,528550.0,19.913288,2265.7402,1.2320384,544220.94,20.682909,0,,,,,659.3608934725573,3.5008594e-05,250.29931155199625,5.2816926e-05,0.009716016,0.037635937
544164.94,20.657291,0,0.0013590016,659.3608065946087,250.29931644254873,1169,528498.2,19.912447,2267.7375,1.2320871,544164.94,20.657291,0,,,,,659.3608065946087,3.501221e-05,250.29931644254873,5.281294e-05,0.009565544,0.037760828
544150.56,20.660666,0,0.0013595923,659.360698188199,250.2997293831607,1170,528522.5,19.91345,2301.9106,1.2332776,544150.56,20.660666,0,,,,,659.360698188199,3.5015542e-05,250.2997293831607,5.2813808e-05,0.009653588,0.03828659
544179.2,20.661144,0,0.0013601829,659.3607235885106,250.29895483077965,1171,528491.56,19.912458,2264.2014,1.2343855,544179.2,20.661144,0,,,,,659.3607235885106,3.501242e-05,250.29895483077965,5.281608e-05,0.009571328,0.037476458
544180.2,20.656254,0,0.0013607735,659.3609632509917,250.2996401202974,1172,528523.2,19.912876,2267.2,1.2318257,544180.2,20.656254,0,,,,,659.3609632509917,3.5010304e-05,250.2996401202974,5.2808682e-05,0.009850893,0.038142562
544147.06,20.672016,0,0.0013613638,659.3609520730402,250.29971178129955,1173,528470.8,19.911951,2260.3281,1.2296624,544147.06,20.672016,0,,,,,659.3609520730402,3.5012476e-05,250.29971178129955,5.2818734e-05,0.009719697,0.037989493
544228.5,20.64341,0,0.0013619543,659.3606594425257,250.2998594983162,1174,528578.94,19.913866,2264.0627,1.2341919,544228.5,20.64341,0,,,,,659.3606594425257,3.5007724e-05,250.2998594983162,5.2802225e-05,0.009465656,0.038467314
544161.5,20.66547,0,0.0013625446,659.3605232574087,250.29934487073336,1175,528502.7,19.912603,2265.8213,1.2326307,544161.5,20.66547,0,,,,,659.3605232574087,3.50132e-05,250.29934487073336,5.2814135e-05,0.009395612,0.037795626
544165.56,20.682608,0,0.0013631348,659.3605846228528,250.2990578390373,1176,528499.44,19.912563,2265.8306,1.2341294,544165.56,20.682608,0,,,,,659.3605846228528,3.501315e-05,250.2990578390373,5.281718e-05,0.009376946,0.037483957
544154.44,20.660933,0,0.001363725,659.3605188489043,250.299221508088,1177,528523.06,19.91282,2263.2634,1.2316396,544154.44,20.660933,0,,,,,659.3605188489043,3.5010475e-05,250.299221508088,5.2811556e-05,0.009439263,0.03794957
